,text,chapter,x,y,sent_size
0," Who that cares much to know the history of man, and how the mysterious mixture behaves under the varying experiments of Time, has not dwelt, at least briefly, on the life of Saint Theresa, has not smiled with some gentleness at the thought of the little girl walking forth one morning hand-in-hand with her still smaller brother, to go and seek martyrdom in the country of the Moors?",PRELUDE.,8.606354,2.2993019,68
1,"Out they toddled from rugged Avila, wide-eyed and helpless-looking as two fawns, but with human hearts, already beating to a national idea; until domestic reality met them in the shape of uncles, and turned them back from their great resolve.",PRELUDE.,8.869586,2.465925,40
2,That child-pilgrimage was a fit beginning.,PRELUDE.,9.96656,2.2059052,6
3,"Theresa’s passionate, ideal nature demanded an epic life: what were many-volumed romances of chivalry and the social conquests of a brilliant girl to her?",PRELUDE.,9.500031,2.1334724,24
4,"Her flame quickly burned up that light fuel; and, fed from within, soared after some illimitable satisfaction, some object which would never justify weariness, which would reconcile self-despair with the rapturous consciousness of life beyond self.",PRELUDE.,9.750497,1.3992393,36
5,She found her epos in the reform of a religious order.,PRELUDE.,10.434351,1.3676121,11
6,"That Spanish woman who lived three hundred years ago, was certainly not the last of her kind.",PRELUDE.,9.992274,2.1977715,17
7,"Many Theresas have been born who found for themselves no epic life wherein there was a constant unfolding of far-resonant action; perhaps only a life of mistakes, the offspring of a certain spiritual grandeur ill-matched with the meanness of opportunity; perhaps a tragic failure which found no sacred poet and sank unwept into oblivion.",PRELUDE.,9.122194,2.3919299,54
8,"With dim lights and tangled circumstance they tried to shape their thought and deed in noble agreement; but after all, to common eyes their struggles seemed mere inconsistency and formlessness; for these later-born Theresas were helped by no coherent social faith and order which could perform the function of knowledge for the ardently willing soul.",PRELUDE.,9.271618,2.2069542,55
9,"Their ardor alternated between a vague ideal and the common yearning of womanhood; so that the one was disapproved as extravagance, and the other condemned as a lapse.",PRELUDE.,9.832963,2.0548563,28
10,"Some have felt that these blundering lives are due to the inconvenient indefiniteness with which the Supreme Power has fashioned the natures of women: if there were one level of feminine incompetence as strict as the ability to count three and no more, the social lot of women might be treated with scientific certitude.",PRELUDE.,9.932674,2.5045865,54
11,"Meanwhile the indefiniteness remains, and the limits of variation are really much wider than any one would imagine from the sameness of women’s coiffure and the favorite love-stories in prose and verse.",PRELUDE.,9.644985,2.3731837,32
12,"Here and there a cygnet is reared uneasily among the ducklings in the brown pond, and never finds the living stream in fellowship with its own oary-footed kind.",PRELUDE.,7.963249,3.4602027,28
13,"Here and there is born a Saint Theresa, foundress of nothing, whose loving heart-beats and sobs after an unattained goodness tremble off and are dispersed among hindrances, instead of centring in some long-recognizable deed.",PRELUDE.,9.122304,2.1123357,34
14," Since I can do no good because a woman, Reach constantly at something that is near it.",CHAPTER I.,8.804195,4.1861176,17
15,—The Maid’s Tragedy: BEAUMONT AND FLETCHER.,CHAPTER I.,10.109276,-1.4955691,6
16,Miss Brooke had that kind of beauty which seems to be thrown into relief by poor dress.,CHAPTER I.,6.8016763,-1.5069399,17
17,"Her hand and wrist were so finely formed that she could wear sleeves not less bare of style than those in which the Blessed Virgin appeared to Italian painters; and her profile as well as her stature and bearing seemed to gain the more dignity from her plain garments, which by the side of provincial fashion gave her the impressiveness of a fine quotation from the Bible,—or from one of our elder poets,—in a paragraph of to-day’s newspaper.",CHAPTER I.,9.765976,1.0595455,78
18,"She was usually spoken of as being remarkably clever, but with the addition that her sister Celia had more common-sense.",CHAPTER I.,10.276883,-1.59844,20
19,"Nevertheless, Celia wore scarcely more trimmings; and it was only to close observers that her dress differed from her sister’s, and had a shade of coquetry in its arrangements; for Miss Brooke’s plain dressing was due to mixed conditions, in most of which her sister shared.",CHAPTER I.,10.014755,-1.4895589,46
20,"The pride of being ladies had something to do with it: the Brooke connections, though not exactly aristocratic, were unquestionably “good:” if you inquired backward for a generation or two, you would not find any yard-measuring or parcel-tying forefathers—anything lower than an admiral or a clergyman; and there was even an ancestor discernible as a Puritan gentleman who served under Cromwell, but afterwards conformed, and managed to come out of all political troubles as the proprietor of a respectable family estate.",CHAPTER I.,7.159059,-1.5445142,81
21,"Young women of such birth, living in a quiet country-house, and attending a village church hardly larger than a parlor, naturally regarded frippery as the ambition of a huckster’s daughter.",CHAPTER I.,10.101159,2.3656886,30
22,"Then there was well-bred economy, which in those days made show in dress the first item to be deducted from, when any margin was required for expenses more distinctive of rank.",CHAPTER I.,7.07649,4.4855394,31
23,"Such reasons would have been enough to account for plain dress, quite apart from religious feeling; but in Miss Brooke’s case, religion alone would have determined it; and Celia mildly acquiesced in all her sister’s sentiments, only infusing them with that common-sense which is able to accept momentous doctrines without any eccentric agitation.",CHAPTER I.,10.156718,-1.5923836,53
24,"Dorothea knew many passages of Pascal’s Pensees and of Jeremy Taylor by heart; and to her the destinies of mankind, seen by the light of Christianity, made the solicitudes of feminine fashion appear an occupation for Bedlam.",CHAPTER I.,8.624528,-3.023004,37
25,"She could not reconcile the anxieties of a spiritual life involving eternal consequences, with a keen interest in gimp and artificial protrusions of drapery.",CHAPTER I.,10.223685,1.116203,24
26,"Her mind was theoretic, and yearned by its nature after some lofty conception of the world which might frankly include the parish of Tipton and her own rule of conduct there; she was enamoured of intensity and greatness, and rash in embracing whatever seemed to her to have those aspects; likely to seek martyrdom, to make retractations, and then to incur martyrdom after all in a quarter where she had not sought it.",CHAPTER I.,10.404342,1.2962327,73
27,"Certainly such elements in the character of a marriageable girl tended to interfere with her lot, and hinder it from being decided according to custom, by good looks, vanity, and merely canine affection.",CHAPTER I.,10.067411,2.0639815,33
28,"With all this, she, the elder of the sisters, was not yet twenty, and they had both been educated, since they were about twelve years old and had lost their parents, on plans at once narrow and promiscuous, first in an English family and afterwards in a Swiss family at Lausanne, their bachelor uncle and guardian trying in this way to remedy the disadvantages of their orphaned condition.",CHAPTER I.,10.634616,2.1349068,68
29,"It was hardly a year since they had come to live at Tipton Grange with their uncle, a man nearly sixty, of acquiescent temper, miscellaneous opinions, and uncertain vote.",CHAPTER I.,6.9496217,-0.35259077,29
30,"He had travelled in his younger years, and was held in this part of the county to have contracted a too rambling habit of mind.",CHAPTER I.,7.4480762,2.5335376,25
31,"Mr. Brooke’s conclusions were as difficult to predict as the weather: it was only safe to say that he would act with benevolent intentions, and that he would spend as little money as possible in carrying them out.",CHAPTER I.,6.51154,-1.1265435,38
32,"For the most glutinously indefinite minds enclose some hard grains of habit; and a man has been seen lax about all his own interests except the retention of his snuff-box, concerning which he was watchful, suspicious, and greedy of clutch.",CHAPTER I.,8.391992,2.9686055,40
33,"In Mr. Brooke the hereditary strain of Puritan energy was clearly in abeyance; but in his niece Dorothea it glowed alike through faults and virtues, turning sometimes into impatience of her uncle’s talk or his way of “letting things be” on his estate, and making her long all the more for the time when she would be of age and have some command of money for generous schemes.",CHAPTER I.,7.816567,-2.0693312,68
34,"She was regarded as an heiress; for not only had the sisters seven hundred a-year each from their parents, but if Dorothea married and had a son, that son would inherit Mr. Brooke’s estate, presumably worth about three thousand a-year—a rental which seemed wealth to provincial families, still discussing Mr. Peel’s late conduct on the Catholic question, innocent of future gold-fields, and of that gorgeous plutocracy which has so nobly exalted the necessities of genteel life.",CHAPTER I.,7.9235024,-2.1906457,76
35,And how should Dorothea not marry?—a girl so handsome and with such prospects?,CHAPTER I.,8.562532,-3.0812044,13
36,"Nothing could hinder it but her love of extremes, and her insistence on regulating life according to notions which might cause a wary man to hesitate before he made her an offer, or even might lead her at last to refuse all offers.",CHAPTER I.,10.767151,1.9461404,43
37,"A young lady of some birth and fortune, who knelt suddenly down on a brick floor by the side of a sick laborer and prayed fervidly as if she thought herself living in the time of the Apostles—who had strange whims of fasting like a Papist, and of sitting up at night to read old theological books!",CHAPTER I.,10.09947,2.440301,57
38,Such a wife might awaken you some fine morning with a new scheme for the application of her income which would interfere with political economy and the keeping of saddle-horses: a man would naturally think twice before he risked himself in such fellowship.,CHAPTER I.,10.062395,2.8800561,43
39,"Women were expected to have weak opinions; but the great safeguard of society and of domestic life was, that opinions were not acted on.",CHAPTER I.,10.057835,2.5081189,24
40,"Sane people did what their neighbors did, so that if any lunatics were at large, one might know and avoid them.",CHAPTER I.,8.748577,3.8197885,21
41,"The rural opinion about the new young ladies, even among the cottagers, was generally in favor of Celia, as being so amiable and innocent-looking, while Miss Brooke’s large eyes seemed, like her religion, too unusual and striking.",CHAPTER I.,7.1684012,-1.5731112,37
42,Poor Dorothea!,CHAPTER I.,8.799828,-3.70288,2
43,"compared with her, the innocent-looking Celia was knowing and worldly-wise; so much subtler is a human mind than the outside tissues which make a sort of blazonry or clock-face for it.",CHAPTER I.,10.281804,-1.5218498,31
44,"Yet those who approached Dorothea, though prejudiced against her by this alarming hearsay, found that she had a charm unaccountably reconcilable with it.",CHAPTER I.,8.550399,-3.5456016,23
45,Most men thought her bewitching when she was on horseback.,CHAPTER I.,9.865309,0.924831,10
46,"She loved the fresh air and the various aspects of the country, and when her eyes and cheeks glowed with mingled pleasure she looked very little like a devotee.",CHAPTER I.,9.652291,1.1063929,29
47,"Riding was an indulgence which she allowed herself in spite of conscientious qualms; she felt that she enjoyed it in a pagan sensuous way, and always looked forward to renouncing it.",CHAPTER I.,9.841213,1.0266485,31
48,"She was open, ardent, and not in the least self-admiring; indeed, it was pretty to see how her imagination adorned her sister Celia with attractions altogether superior to her own, and if any gentleman appeared to come to the Grange from some other motive than that of seeing Mr. Brooke, she concluded that he must be in love with Celia: Sir James Chettam, for example, whom she constantly considered from Celia’s point of view, inwardly debating whether it would be good for Celia to accept him.",CHAPTER I.,9.834547,-1.5203769,86
49,That he should be regarded as a suitor to herself would have seemed to her a ridiculous irrelevance.,CHAPTER I.,10.946246,1.8593181,18
50,"Dorothea, with all her eagerness to know the truths of life, retained very childlike ideas about marriage.",CHAPTER I.,8.55884,-3.3489363,17
51,"She felt sure that she would have accepted the judicious Hooker, if she had been born in time to save him from that wretched mistake he made in matrimony; or John Milton when his blindness had come on; or any of the other great men whose odd habits it would have been glorious piety to endure; but an amiable handsome baronet, who said “Exactly” to her remarks even when she expressed uncertainty,—how could he affect her as a lover?",CHAPTER I.,10.56456,1.8189648,79
52,"The really delightful marriage must be that where your husband was a sort of father, and could teach you even Hebrew, if you wished it.",CHAPTER I.,9.966588,2.8805003,25
53,These peculiarities of Dorothea’s character caused Mr. Brooke to be all the more blamed in neighboring families for not securing some middle-aged lady as guide and companion to his nieces.,CHAPTER I.,7.9116497,-2.0757952,30
54,"But he himself dreaded so much the sort of superior woman likely to be available for such a position, that he allowed himself to be dissuaded by Dorothea’s objections, and was in this case brave enough to defy the world—that is to say, Mrs. Cadwallader the Rector’s wife, and the small group of gentry with whom he visited in the northeast corner of Loamshire.",CHAPTER I.,8.798704,-1.6264371,64
55,"So Miss Brooke presided in her uncle’s household, and did not at all dislike her new authority, with the homage that belonged to it.",CHAPTER I.,7.1757693,-1.3332855,24
56,"Sir James Chettam was going to dine at the Grange to-day with another gentleman whom the girls had never seen, and about whom Dorothea felt some venerating expectation.",CHAPTER I.,8.339942,-1.8657037,28
57,"This was the Reverend Edward Casaubon, noted in the county as a man of profound learning, understood for many years to be engaged on a great work concerning religious history; also as a man of wealth enough to give lustre to his piety, and having views of his own which were to be more clearly ascertained on the publication of his book.",CHAPTER I.,7.88998,-0.073619865,62
58,His very name carried an impressiveness hardly to be measured without a precise chronology of scholarship.,CHAPTER I.,7.5802426,2.8924477,16
59,"Early in the day Dorothea had returned from the infant school which she had set going in the village, and was taking her usual place in the pretty sitting-room which divided the bedrooms of the sisters, bent on finishing a plan for some buildings (a kind of work which she delighted in), when Celia, who had been watching her with a hesitating desire to propose something, said—  “Dorothea, dear, if you don’t mind—if you are not very busy—suppose we looked at mamma’s jewels to-day, and divided them?",CHAPTER I.,8.907687,-2.8088744,87
60,"It is exactly six months to-day since uncle gave them to you, and you have not looked at them yet.”  Celia’s face had the shadow of a pouting expression in it, the full presence of the pout being kept back by an habitual awe of Dorothea and principle; two associated facts which might show a mysterious electricity if you touched them incautiously.",CHAPTER I.,10.051405,-1.7302158,62
61,"To her relief, Dorothea’s eyes were full of laughter as she looked up.",CHAPTER I.,9.194861,-3.0485184,13
62,"“What a wonderful little almanac you are, Celia!",CHAPTER I.,10.207989,-1.4942727,8
63,"Is it six calendar or six lunar months?”  “It is the last day of September now, and it was the first of April when uncle gave them to you.",CHAPTER I.,10.050912,3.348145,29
64,"You know, he said that he had forgotten them till then.",CHAPTER I.,7.4286633,2.5271983,11
